symbol,sector
0700.HK,HKEX
1288.HK,HKEX
1398.HK,HKEX
9988.HK,HKEX
0939.HK,HKEX
0005.HK,HKEX
0941.HK,HKEX
0857.HK,HKEX
3988.HK,HKEX
2628.HK,HKEX
00001.HK,HKEX
00002.HK,HKEX
00003.HK,HKEX
00004.HK,HKEX
00005.HK,HKEX
00006.HK,HKEX
00007.HK,HKEX
00008.HK,HKEX
00009.HK,HKEX
00010.HK,HKEX
00012.HK,HKEX
00013.HK,HKEX
00014.HK,HKEX
00016.HK,HKEX
00017.HK,HKEX
00018.HK,HKEX
00019.HK,HKEX
00020.HK,HKEX
00021.HK,HKEX
00022.HK,HKEX
00023.HK,HKEX
00025.HK,HKEX
00026.HK,HKEX
00027.HK,HKEX
00028.HK,HKEX
00029.HK,HKEX
00030.HK,HKEX
00031.HK,HKEX
00032.HK,HKEX
00033.HK,HKEX
00034.HK,HKEX
00035.HK,HKEX
00036.HK,HKEX
00037.HK,HKEX
00038.HK,HKEX
00039.HK,HKEX
00040.HK,HKEX
00041.HK,HKEX
00042.HK,HKEX
00045.HK,HKEX
00046.HK,HKEX
00048.HK,HKEX
00050.HK,HKEX
00051.HK,HKEX
00052.HK,HKEX
00053.HK,HKEX
00055.HK,HKEX
00057.HK,HKEX
00058.HK,HKEX
00059.HK,HKEX
00060.HK,HKEX
00061.HK,HKEX
00062.HK,HKEX
00063.HK,HKEX
00064.HK,HKEX
00065.HK,HKEX
00066.HK,HKEX
00069.HK,HKEX
00070.HK,HKEX
00071.HK,HKEX
00072.HK,HKEX
00073.HK,HKEX
00075.HK,HKEX
00076.HK,HKEX
00077.HK,HKEX
00078.HK,HKEX
00079.HK,HKEX
00080.HK,HKEX
00081.HK,HKEX
00082.HK,HKEX
00083.HK,HKEX
00084.HK,HKEX
00085.HK,HKEX
00086.HK,HKEX
00087.HK,HKEX
00088.HK,HKEX
00089.HK,HKEX
00090.HK,HKEX
00092.HK,HKEX
00093.HK,HKEX
00094.HK,HKEX
00095.HK,HKEX
00096.HK,HKEX
00097.HK,HKEX
00098.HK,HKEX
00099.HK,HKEX
00100.HK,HKEX
00101.HK,HKEX
00103.HK,HKEX
00104.HK,HKEX
00105.HK,HKEX
00106.HK,HKEX
00107.HK,HKEX
00108.HK,HKEX
00110.HK,HKEX
00111.HK,HKEX
00113.HK,HKEX
00114.HK,HKEX
00115.HK,HKEX
00116.HK,HKEX
00117.HK,HKEX
00118.HK,HKEX
00119.HK,HKEX
00120.HK,HKEX
00122.HK,HKEX
00123.HK,HKEX
00124.HK,HKEX
00125.HK,HKEX
00126.HK,HKEX
00127.HK,HKEX
00128.HK,HKEX
00129.HK,HKEX
00130.HK,HKEX
00131.HK,HKEX
00132.HK,HKEX
00133.HK,HKEX
00135.HK,HKEX
00136.HK,HKEX
00137.HK,HKEX
00138.HK,HKEX
00139.HK,HKEX
00142.HK,HKEX
00144.HK,HKEX
00145.HK,HKEX
00146.HK,HKEX
00147.HK,HKEX
00148.HK,HKEX
00149.HK,HKEX
00150.HK,HKEX
00151.HK,HKEX
00152.HK,HKEX
00154.HK,HKEX
00156.HK,HKEX
00157.HK,HKEX
00158.HK,HKEX
00159.HK,HKEX
00160.HK,HKEX
00162.HK,HKEX
00163.HK,HKEX
00164.HK,HKEX
00165.HK,HKEX
00166.HK,HKEX
00167.HK,HKEX
00168.HK,HKEX
00169.HK,HKEX
00171.HK,HKEX
00173.HK,HKEX
00174.HK,HKEX
00175.HK,HKEX
00176.HK,HKEX
00177.HK,HKEX
00178.HK,HKEX
00179.HK,HKEX
00180.HK,HKEX
00181.HK,HKEX
00182.HK,HKEX
00183.HK,HKEX
00184.HK,HKEX
00185.HK,HKEX
00186.HK,HKEX
00187.HK,HKEX
00188.HK,HKEX
00189.HK,HKEX
00191.HK,HKEX
00193.HK,HKEX
00194.HK,HKEX
00195.HK,HKEX
00196.HK,HKEX
00197.HK,HKEX
00199.HK,HKEX
00200.HK,HKEX
00201.HK,HKEX
00202.HK,HKEX
00204.HK,HKEX
00205.HK,HKEX
00206.HK,HKEX
00209.HK,HKEX
00210.HK,HKEX
00211.HK,HKEX
00212.HK,HKEX
00213.HK,HKEX
00214.HK,HKEX
00215.HK,HKEX
00216.HK,HKEX
00217.HK,HKEX
00218.HK,HKEX
00219.HK,HKEX
00220.HK,HKEX
00222.HK,HKEX
00223.HK,HKEX
00224.HK,HKEX
00225.HK,HKEX
00227.HK,HKEX
00228.HK,HKEX
00229.HK,HKEX
00230.HK,HKEX
00232.HK,HKEX
00234.HK,HKEX
00235.HK,HKEX
00236.HK,HKEX
00237.HK,HKEX
00239.HK,HKEX
00240.HK,HKEX
00241.HK,HKEX
00242.HK,HKEX
00243.HK,HKEX
00244.HK,HKEX
00245.HK,HKEX
00247.HK,HKEX
00248.HK,HKEX
00251.HK,HKEX
00252.HK,HKEX
00253.HK,HKEX
00254.HK,HKEX
00255.HK,HKEX
00256.HK,HKEX
00257.HK,HKEX
00258.HK,HKEX
00259.HK,HKEX
00261.HK,HKEX
00262.HK,HKEX
00264.HK,HKEX
00265.HK,HKEX
00266.HK,HKEX
00267.HK,HKEX
00268.HK,HKEX
00269.HK,HKEX
00270.HK,HKEX
00271.HK,HKEX
00272.HK,HKEX
00274.HK,HKEX
00276.HK,HKEX
00277.HK,HKEX
